Age,StateProvinceCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,ThreeYearVisitCount,SkiLoyaltyIndexRating,FrontRangeMarket,CustId,Spend_Winter_2010,Spend_Winter_2011,Spend_Winter_2012,Spend_Winter_2013,Spend_Winter_2014,Spend_Winter_2015,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,Pass_Winter_2010,Pass_Winter_2011,Pass_Winter_2012,Pass_Winter_2013,Pass_Winter_2014,Pass_Winter_2015,January_15,February_15,March_15,April_15,November_14,December_14,Ski_Resort1_2014_2015,Ski_Resort2_2014_2015,Ski_Resort3_2014_2015,Ski_Resort4_2014_2015,Ski_Resort5_2014_2015
43,CO,2188.34,837.00,2188.34,18,10.00,1,1022989,0.00,0.00,0.00,0.00,417.00,338.00,1336.00,5095.01,5095.01,3,3,0,0,0,0,0,1,1,2,1,2,2,0,1,0,0,8,0,0
63,CO,12186.12,3346.19,7717.27,50,0.00,1,1023296,0.00,217.00,696.00,765.00,648.00,469.00,3523.59,8498.87,8999.66,6,6,0,1,1,1,1,1,1,5,3,4,0,0,5,0,0,17,0,0
63,CO,7445.3,1065.24,3446.30,44,10.00,1,1024577,295.00,690.00,138.00,236.00,276.00,27.00,1205.47,4413.06,4689.06,5,2,3,0,1,1,1,1,1,5,12,6,0,0,7,0,0,4,0,26
49,CO,9547.11,796.00,3360.63,6,0.00,1,1024929,436.00,647.00,298.00,654.00,0.00,796.00,796.00,3360.63,3360.63,2,2,0,0,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,4
69,CO,3467.76,616.72,2198.76,16,10.00,1,1047172,208.00,124.00,0.00,0.00,543.00,0.00,616.72,2198.76,2267.76,1,1,0,0,1,1,1,1,1,4,1,1,0,0,7,0,0,0,0,13
54,CO,4146.47,652.55,1898.12,29,8.35,1,1047656,0.00,0.00,0.00,0.00,199.00,0.00,990.55,2525.25,2574.25,6,5,1,0,1,1,1,1,1,0,0,0,0,0,5,0,0,0,0,5
23,CO,888.8,26.10,829.80,35,10.00,1,1049094,59.00,0.00,0.00,0.00,0.00,0.00,75.10,3500.24,3628.24,5,4,1,0,0,0,0,1,1,1,1,4,1,0,2,0,0,4,0,5
34,CO,4429.2,840.00,3254.20,19,6.79,1,1050355,0.00,159.00,0.00,0.00,0.00,0.00,840.00,3254.20,3392.20,1,1,0,0,1,0,1,1,1,2,1,4,0,0,0,0,0,3,0,4
44,CO,917,.00,179.00,1,10.00,1,1051348,0.00,0.00,0.00,0.00,179.00,0.00,0.00,179.00,179.00,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,3
69,CO,4627.02,849.06,2753.02,14,10.00,1,1052229,0.00,0.00,0.00,0.00,69.00,0.00,1006.94,2979.90,3186.90,4,4,0,0,1,1,1,1,1,1,3,2,0,0,0,0,0,0,0,6
50,CO,10181.01,1467.16,4540.01,30,10.00,1,1028430,295.00,200.00,100.00,631.00,69.00,0.00,1018.23,4932.23,5282.09,5,4,1,1,1,1,1,1,1,2,2,3,0,1,3,0,0,0,0,11
38,CO,1503.81,1009.95,1503.81,8,0.00,1,1030459,0.00,0.00,0.00,0.00,69.00,0.00,1009.95,1503.81,1503.81,2,2,0,0,0,0,0,1,1,4,0,1,0,0,0,0,0,0,0,5
49,CO,3708.84,.00,21.63,2,10.00,1,1030627,342.00,0.00,163.90,0.00,0.00,0.00,339.00,390.80,1795.80,2,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2
56,CO,2864.59,.00,2049.59,10,0.00,1,1033535,0.00,338.00,477.00,507.00,0.00,0.00,0.00,2108.59,2585.59,2,2,0,0,0,0,0,1,0,2,2,2,0,0,5,0,0,0,0,11
