SourceSystemName,Quantity,Price,HasResortCharge,PriceInCorporateCurrency,TotalUsageDays,PurchaserCustomerId,ProductOwnerCustomerId,ProductId,CalendarDate,SeasonName,ProductPackageName,Age,City,StateProvinceCode,PostalCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,IsDeleted,ThreeYearVisitCount,SkiAbility,NearestMajorAirportCode,SkiLoyaltyIndexRating,IsWinterGuest,IsSummerGuest,FrontRangeMarket,CustomerId,ProductFamily,ProductClass,ProductType,ProductId,ProductName,SourceSystemName
POS,1,149.00,0,149.00,2,3815417,3815417,2647,2013-12-18,Winter 2013/2014,ProductPackage - 10657,41,Arvada,CO,80403,724,.00,724.00,False,16,NULL,DEN,0.00,True,True,1,3815417,Frequency,Frequency,ProductType - 15,2647,Product - 2647,POS
POS,1,0.00,0,0.00,7,1947536,1947536,7551,2011-11-13,Winter 2011/2012,ProductPackage - 13639,54,Golden,CO,80403,0,.00,.00,False,3,NULL,DEN,0.00,True,False,1,1947536,Other,Unclassified,ProductType - 31,7551,Product - 7551,POS
POS,1,0.00,0,0.00,9,2134151,2134151,7551,2011-11-13,Winter 2011/2012,ProductPackage - 13639,65,Golden,CO,80403,352.61,6.57,30.13,False,10,NULL,DEN,0.00,True,True,1,2134151,Other,Unclassified,ProductType - 31,7551,Product - 7551,POS
POS,1,0.00,0,0.00,5,1130450,1130450,7551,2014-12-13,Winter 2014/2015,ProductPackage - 13639,55,Golden,CO,80403,239.83,25.97,40.83,False,5,NULL,DEN,10.00,True,False,1,1130450,Other,Unclassified,ProductType - 31,7551,Product - 7551,POS
POS,1,0.00,0,0.00,4,1743248,1743248,7551,2014-12-10,Winter 2014/2015,ProductPackage - 13639,64,Golden,CO,80403,148.29,6.02,21.70,False,6,NULL,DEN,10.00,True,False,1,1743248,Other,Unclassified,ProductType - 31,7551,Product - 7551,POS
POS,1,0.00,0,0.00,11,1821942,1821942,7551,2014-11-13,Winter 2014/2015,ProductPackage - 13639,74,Golden,CO,80403,0,.00,.00,False,4,NULL,DEN,0.00,False,False,1,1821942,Other,Unclassified,ProductType - 31,7551,Product - 7551,POS
POS,1,0.00,0,0.00,4,21155211,21155211,7565,2011-10-27,Winter 2011/2012,ProductPackage - 13649,54,Golden,CO,80403,5295.61,541.35,1752.01,False,81,NULL,DEN,0.00,True,True,1,21155211,Unpaid Pass,Employee,ProductType - 105,7565,Product - 7565,POS
POS,1,0.00,0,0.00,3,2053236,2053236,7565,2011-11-10,Winter 2011/2012,ProductPackage - 13649,29,Golden,CO,80403,0,.00,.00,False,0,NULL,DEN,10.00,True,True,1,2053236,Unpaid Pass,Employee,ProductType - 105,7565,Product - 7565,POS
POS,1,0.00,0,0.00,1,2053236,2053236,7565,2010-11-03,Winter 2010/2011,ProductPackage - 13649,29,Golden,CO,80403,0,.00,.00,False,0,NULL,DEN,10.00,True,True,1,2053236,Unpaid Pass,Employee,ProductType - 105,7565,Product - 7565,POS
POS,1,10.00,0,10.00,23,21155211,1947836,7568,2014-11-26,Winter 2014/2015,ProductPackage - 13650,21,Golden,CO,80403,70.65,12.08,27.58,False,81,NULL,DEN,8.18,True,True,1,1947836,Unpaid Pass,Employee,ProductType - 106,7568,Product - 7568,POS
POS,1,0.00,0,0.00,35,21155211,1947871,7568,2015-11-21,Winter 2015/2016,ProductPackage - 13650,16,Golden,CO,80403,420.71,.00,420.71,False,81,NULL,DEN,0.00,True,True,1,1947871,Unpaid Pass,Employee,ProductType - 106,7568,Product - 7568,POS
POS,1,0.00,0,0.00,0,1665201,22847428,7565,2015-02-21,Winter 2014/2015,ProductPackage - 13656,20,Golden,CO,80403,2493.44,367.79,2341.37,False,65,NULL,DEN,0.00,True,True,1,22847428,Unpaid Pass,Employee,ProductType - 105,7565,Product - 7565,POS
