Age,StateProvinceCode,CustomerLifetimeSpend,Customer1YearSpend,Customer3YearSpend,ThreeYearVisitCount,SkiLoyaltyIndexRating,FrontRangeMarket,CustId,Spend_Winter_2010,Spend_Winter_2011,Spend_Winter_2012,Spend_Winter_2013,Spend_Winter_2014,Spend_Winter_2015,Household1YearSpend,Household3YearSpend,HouseholdLifetimeSpend,NumberOfHouseholdMembers,NumberOfAdults,NumberOfChildren,Pass_Winter_2010,Pass_Winter_2011,Pass_Winter_2012,Pass_Winter_2013,Pass_Winter_2014,Pass_Winter_2015_x,January_15,February_15,March_15,April_15,November_14,December_14,Ski_Resort1_2014_2015,Ski_Resort2_2014_2015,Ski_Resort3_2014_2015,Ski_Resort4_2014_2015,Ski_Resort5_2014_2015,Pass_Winter_2015_y,actual_y,predicted_label,predicted_proba
27,CO,1119.74,559.0,1119.74,9,10.0,1,1016589,0.0,0.0,0.0,0.0,0.0,0.0,559.0,1648.74,1648.74,2,2,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,2,1,1,1,0.89997166
50,CO,2688.51,358.0,1123.7,7,0.0,1,1016830,139.0,298.0,277.0,538.25,159.0,179.0,358.0,1452.7,1878.7,5,3,2,1,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,6,0,0,0,0.24687392
50,CO,986.94,528.94,827.94,6,10.0,1,1020206,159.0,0.0,0.0,0.0,299.0,0.0,528.94,834.5,1323.5,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0.6908645
48,CO,1931.87,807.0,1931.87,8,10.0,1,1042369,0.0,0.0,0.0,298.0,0.0,807.0,807.0,1982.68,1982.68,5,2,3,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,4,0,0,1,0.7743401
55,CO,4369.18,480.36,2751.18,15,0.0,1,1014660,476.0,596.0,665.0,596.0,366.0,179.0,1426.36,4129.18,4834.18,4,4,0,0,0,0,0,1,0,1,0,2,0,1,8,0,0,0,0,12,0,0,1,0.8908278
49,CO,12758.38,2375.0,8796.58,36,0.0,1,1014696,0.0,0.0,103.68,10.0,284.0,0.0,2375.0,8802.95,9529.0,4,2,2,0,1,1,1,1,1,9,11,10,0,0,6,0,0,6,0,30,1,1,1,0.97733706
77,CO,1872.11,379.0,1167.11,12,10.0,1,1014727,149.0,0.0,69.0,0.0,0.0,0.0,379.0,1167.11,1285.11,1,1,0,0,1,1,1,1,1,3,4,2,0,1,3,0,0,0,0,13,1,1,1,0.9457728
62,CO,4569.74,1612.5,3974.74,23,7.31,1,1023857,298.0,0.0,297.0,496.0,0.0,0.0,1612.5,3478.74,4271.74,2,2,0,0,0,0,0,1,1,2,7,2,0,0,1,0,0,6,0,6,1,1,1,0.9413412
59,CO,13261.31,3818.23,7470.89,44,10.0,1,1023891,159.0,169.0,330.0,159.0,0.0,0.0,3938.7,9085.46,9288.88,4,2,2,1,1,1,1,1,1,3,2,1,2,2,4,0,0,0,0,14,1,1,1,0.97661
59,CO,4268.4,487.53,2594.4,28,0.0,1,1048324,0.0,159.0,0.0,118.0,0.0,0.0,1480.53,4998.65,6010.21,5,5,0,1,1,1,1,1,1,0,0,2,0,2,0,0,0,0,0,4,1,1,1,0.92674917
45,CO,1164.19,0.0,1164.19,5,10.0,1,1029141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1164.19,1164.19,4,2,2,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,3,0,0,0,0.035434287
54,CO,723.24,0.0,439.0,20,0.0,1,1029673,0.0,0.0,0.0,0.0,439.0,0.0,1864.19,4915.19,4915.19,5,5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.021489533
27,CO,1094.08,995.08,995.08,13,10.0,1,1053822,0.0,0.0,99.0,0.0,100.0,79.0,995.08,1564.08,1663.08,2,2,0,0,0,0,0,1,1,5,2,2,0,0,0,0,0,5,0,4,1,1,1,0.9254123
48,CO,774.0,0.0,774.0,4,8.63,1,1017939,0.0,0.0,0.0,0.0,69.0,0.0,0.0,774.0,774.0,4,2,2,0,0,0,0,1,0,3,1,1,2,2,0,0,0,0,0,9,0,0,0,0.02518096
51,CO,3701.48,309.01,1437.12,160,10.0,0,1018491,0.0,0.0,0.0,0.0,35.0,75.0,350.01,5436.03,5986.54,6,4,2,0,1,1,0,0,0,13,16,21,3,0,18,0,0,71,0,0,0,0,0,0.16048256
18,CO,428.92,0.0,189.92,12,0.0,1,1064304,0.0,0.0,0.0,0.0,159.0,0.0,0.0,1580.95,1580.95,5,3,2,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,4,0,0,0,0.057997454
